,0
0,0.09000000357627869
1,0.14000000059604645
2,0.14000000059604645
3,0.1599999964237213
4,0.44999998807907104
5,0.44999998807907104
6,0.5699999928474426
7,0.5799999833106995
8,0.6499999761581421
9,1.3600000143051147
10,1.5399999618530273
11,1.600000023841858
12,1.6200000047683716
13,1.690000057220459
14,1.840000033378601
15,1.8899999856948853
16,2.4100000858306885
17,2.9600000381469727
18,3.25
19,3.700000047683716
20,4.239999771118164
21,4.809999942779541
22,4.840000152587891
23,6.159999847412109
24,6.46999979019165
25,6.539999961853027
26,6.599999904632568
27,6.679999828338623
28,6.840000152587891
29,7.619999885559082
30,8.029999732971191
31,8.149999618530273
32,8.1899995803833
33,8.229999542236328
34,9.199999809265137
35,10.510000228881836
36,10.6899995803833
37,10.949999809265137
38,12.109999656677246
39,12.359999656677246
40,12.65999984741211
41,13.609999656677246
42,14.140000343322754
43,16.709999084472656
